,City,Number_of_jobs,longitude,latitude
0,"Menlo Park, CA",394,-122.1779927,37.4519671
1,"Sausalito, CA",6,-122.4854694,37.8590272
2,"Redmond, WA",106,-122.1238767,47.6694141
3,Singapore,19,103.830391822121,1.340863
4,"Pittsburgh, PA",24,-79.9900861,40.4416941
5,"Austin, TX",17,-97.7436995,30.2711286
6,"Northridge, CA",7,-123.1378341,49.7031267
7,"Bellevue, WA",10,-122.1923372,47.6144219
8,"Seattle, WA",50,-122.3300624,47.6038321
9,"London, United Kingdom",84,-0.1276474,51.5073219
10,"Boston, MA",13,-71.0582912,42.3602534
11,"Zurich, Switzerland",6,8.656394,47.4133024
12,"San Francisco, CA",8,-72.749396,45.4149778
13,"Los Angeles, CA",18,-118.2427666,34.0536909
14,"Tel Aviv, Israel",23,34.7805274,32.0804808
15,"Montreal, Canada",3,-73.6103642,45.4972159
16,"New York, NY",32,-74.0060152,40.7127281
17,"Washington, DC",11,-77.0365529,38.8948932
18,"Sunnyvale, CA",14,-63.6939710284988,44.7862
19,"Dublin, Ireland",32,-6.2602732,53.3497645
20,"Papillion, NE",2,-96.0422378,41.1544433
21,"Eagle Mountain, Utah",2,-112.0147617,40.3066676
22,"Fremont, CA",23,-123.135817450772,49.2850624
23,"Huntsville, AL",2,-86.5859011,34.729847
24,"Clonee, Ireland",2,-6.4404037,53.4104332
25,"Paris, France",5,2.3514992,48.8566101
26,"Amsterdam, Netherlands",2,4.89797550561798,52.3745403
27,"Cork, Ireland",8,-8.4705806,51.8979282
28,"Shanghai, China",5,121.4691749,31.2322735
29,"Tokyo, Japan",1,139.7594549,35.6828387
30,"Forest City, NC",5,-81.8651028,35.3340108
31,"Prineville, OR",5,-120.834972,44.2998261
32,"Denver, CO",6,-104.9848623,39.7392364
33,"Altoona, IA",7,-93.4646571,41.6441557
34,"Sydney, Australia",1,151.2164539,-33.8548157
35,"Mexico City, Mexico",2,-99.1333416,19.4326009
36,"São Paulo, Brazil",3,-46.6333824,-23.5506507
37,"Bangalore, India",4,77.5912997,12.9791198
38,"Fort Worth, TX",4,-97.3327459,32.753177
39,"Odense, Denmark",1,10.3852104,55.3997225
40,"Henrico, VA",4,-77.4234124,37.5455191
41,"Kuala Lumpur, Malaysia",2,101.6943028,3.1516636
42,"Gurgaon, India",1,77.0299194,28.4646148
43,"Warsaw, Poland",2,21.0714111288323,52.2337172
44,"Seoul, South Korea",2,126.9782914,37.5666791
45,"Berlin, Germany",1,13.3888599,52.5170365
46,"Newton County, GA",4,-83.8446101,33.5715512
47,"Milan, Italy",1,9.1905,45.4668
48,"Buenos Aires, Argentina",1,-58.437076,-34.6075616
49,"New Albany, OH",1,-82.8087864,40.0811745
