title,loc,minimum_qual,preferred_qual,resp,url
Software Engineer,"San Francisco, CA, USA","BS degree in Computer Science, similar technical field of study or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.
Working proficiency and communication skills in verbal and written English.","Master’s, PhD degree, further education or experience in engineering, computer science or other technical related field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Experience developing accessible technologies.
Interest and ability to learn other coding languages as needed.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/82652223323939526-software-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
Corporate Operations Engineer/Technical Support Engineer,"Xindian District, New Taipei City, Taiwan","Experience in troubleshooting Windows, Mac OS, Unix, Chrome OS, networking; scripting and automation; application troubleshooting.
Experience in creating/optimizing deployment and/or support processes for desktops/laptops, video conferencing, wireless devices, software and patches.
Experience in creating scripts in SQL and Python to automate tasks.","Experience providing infrastructure solutions for high profile internal customers.
Understanding of IT change management best practices.
Understanding of enterprise networking, including mobile solutions.
Systematic problem solving approach, coupled with a sense of ownership and drive. Ability to adjust quickly to changing priorities and make progress in areas where a high ambiguity and uncertainty exist.
Effective customer service, organizational, prioritization, multitasking, communication, and leadership skills.","Partner with and lead peers, vendors and other technical support teams to coordinate troubleshooting process and resolution for incidents and problems. Act as an escalation point for particular regions, areas of expertise or technical support channels.
Use insights gained through direct support to advocate for users, working with partner teams to identify problematic user journeys and prioritize solutions.
Provide hands-on and remote root cause analysis of IT issues on multiple technologies and platforms.
Develop scripts, tools, processes or solutions to proactively prevent problems, improve user productivity and automate recurring tasks as part of longer term and global service improvements.
Participate in or lead IT projects, ensuring that projects are designed and planned well, focusing on delivering a solution or technical improvement. Analyze relevant data to show business impact of projects.",https://careers.google.com/jobs/results/128053669774926534-corporate-operations-engineertechnical-support-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
Network Test Engineer,"Sunnyvale, CA, USA","BA/BS degree in Computer Science or equivalent practical experience.
Experience using standard protocols such as LACP, STP, RSTP, VRRP, UDLD and 802.1x.
Experience with C/C++/scripting, and testing/releasing networking products.
Experience working with and testing multiple L2 and L3 networking protocols as well as troubleshooting automation.","Master's degree or PhD, or equivalent practical experience.
6 years of relevant work experience.
Experience in supporting, implementing and/or designing networks.
Experience using Unix/Linux operating systems.","Design, develop and execute test plans for networking features, equipment and systems.
Contribute to the design of new networking systems.
Develop test automation tools.
Certify software releases for general use.
Work with development teams to develop software and hardware systems.",https://careers.google.com/jobs/results/122384175505253062-network-test-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Customer Engineer, Data Analytics Specialist, Google Cloud","Paris, France","Bachelor's degree in Computer Science or related technical field or equivalent practical experience.
Experience in data and information management as it relates to Big Data or relational-databases.
Experience with one or more of the following: Map Reduce, Hadoop, Spark, Flume, Hive, Impala, SparkSQL, BigQuery.","Master's degree in Computer Science or other technical field with experience with Big Data, PaaS, and IaaS technologies.
Experience in software development platforms and solutions in J2EE, Java servlets, Python, Go, or Ajax.
Experience as a data engineer, database architect, or database administrator.
Experience as a technology consultant, technical architect, enterprise architect, technical sales engineer, or solutions architect.
Experience in web application development and integration.
Ability to quickly learn, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/data engineering technology space.","Accelerate the adoption of Google Cloud solutions. Work with the team to identify and qualify business opportunities, identify key customer technical objections, and develop a strategy to resolve technical blockers.
Manage responsibility for Go-to-Market strategy from a technical perspective. Craft the strategy to transform the customers, identify customer technical objections and develop a strategy to resolve technical blockers.
Share in-depth data analytics and data engineering knowledge to support the technical relationship with Google’s customers, including product and solution briefings, proof-of-concept work, and the coordination and prioritization of solutions impacting customer adoption of Google Cloud.
Recommend integration strategies, enterprise architectures, platforms and application infrastructure required to successfully implement a complete solution using best practices on Google Cloud.
Travel to customer sites, conferences, and other related events as required.",https://careers.google.com/jobs/results/135006782599635654-customer-engineer-data-analytics-specialist-google-cloud/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
Audio Test Engineer,"Mountain View, CA, USA","5 years of experience designing and testing mobile audio systems for telephony applications.
Experience with acoustics design and audio subsystems for mobile phones.
Experience in consumer hardware product development stages from prototyping to mass production.","5 years of experience managing an audio testing team.
Experience with equipment from Audio Precision, Prism dScope, Rohde & Schwarz, Signal Generators, SPL meters, Measurements transducers from Bruel & Kjaer and GRAS. Experience with software tools such as SoundCheck, CLIO, LabView, and Daqarta.
Experience managing an audio lab environment and associated test equipment, creating automation tools and scripting test procedures.
Knowledge of carrier certification procedures.
Ability to travel up to 15% of the time.","Work with acoustic and audio tuning teams to deliver audio systems and test methods for telephony, speech recognition, and media playback use cases.
Design and develop test scenarios, tools and procedures to validate audio system performance.
Contribute to our roadmap by investigating new technologies and delivering new features including development of performance test methods.
Analyze measured data and provide design updates or other feedback to system designers and product leads.",https://careers.google.com/jobs/results/132924506285974214-audio-test-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"iOS Software Engineer, Mobile Applications","London, UK","BA/BS degree in Computer Science/Engineering, related technical field or equivalent practical experience.
Experience in Software Development in Objective-C using iOS and/or OS X frameworks.
Ability to speak and write in English fluently and idiomatically.","Knowledge of iOS SDK performance tools and optimization techniques.
Fluency in one or more of the following languages Python, Java and/or C++.","Design and implement new user-facing features in Google’s mobile applications.
Build the libraries and frameworks that support authentication, copresence and cutting-edge network protocols.
Optimize mobile applications on the iOS platform.
Develop prototypes in a fast-paced environment.",https://careers.google.com/jobs/results/138005133628711622-ios-software-engineer-mobile-applications/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Software Engineer, Cloud SQL","Sunnyvale, CA, USA","Bachelor's degree in Computer Science, similar technical field, or equivalent practical experience
5 years of experience in software development with Java, C++, C#, or Golang
Experience designing and developing distributed systems, API, workflow, concurrency, multithreading, and synchronization
Experience developing, designing, implementing, and running SaaS on SQL Server/Windows environment.","10 years of relevant work experience in software development
Experience in building infrastructure as service (IasS), platform as a service (PaaS), etc.
Experience in running SQL Server and/or Window production environment for SaaS
Experience in building cloud-based Database or Storage services","Work alongside the Technical Lead to drive long-term technical direction
Own and drive the design and implementation of major components
Help to influence and shape the team's culture and process
Partner with Product Managers to define product direction
Collaborate with other GCP teams to drive alignments. Grow and mentor other engineers.",https://careers.google.com/jobs/results/115118602668909254-software-engineer-cloud-sql/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Software Engineer, Android Video, Google Cloud Platform","Sunnyvale, CA, USA","BS degree in Electrical Engineering, Computer Science, related technical field or equivalent practical experience.
3 years of experience working with Object-Oriented Programming in JavaScript, web application development, module development, developing large software systems.
Experience working with C, C++, Java and/or Python.
Experience working in Linux development environment, working with open source tools/platforms.","3 years of relevant work experience, including 2 years of industry experience.
Experience establishing communication between JavaScript modules and web views.
Experience as an Architect or Technical Lead on large project.
Extensive knowledge of Android and/or WebKit.
Foundation in computer science, with competencies in data structures, algorithms, and software design.
Effective programming skills, and the ability to learn fast.","Design, implement and launch highly-reliable and complex Android SDKs for cloud video services and extend it with new, ground-breaking features from the planning stage through execution to product launch.
Maintain the existing SDKs, add plugins to manage video ads and analytics, manage social widgets and control user experience
Document activities from design to completion and participate in testing of projects.
Write efficient, reusable and stable code for complex application logic.
Use automated testing systems to ensure the perfect user experience at all stages.",https://careers.google.com/jobs/results/88642362672063174-software-engineer-android-video-google-cloud-platform/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Software Engineer, Cloud IoT","Budapest, Hungary","Bachelor's degree in Computer Science, related technical field or equivalent practical experience.
Programming experience in C, C++ or Java.
Relevant work experience in software development.","BS, MS or PhD in Computer Science or equivalent work experience.
Coding experience in Java, C/C++ or Python.
Deep knowledge of testing methodologies and software development life cycle","Build scalable IoT products together with the AI teams
Simplify the deployment, management, and collection of data for IoT solution providers, while enforcing strong security.
Be part of an international and distributed team that is responsible for building backend services with public APIs and connectors to other cloud services.
Make direct technical contributions and consistently finish defined tasks and contribute more independently to tasks of larger scope.",https://careers.google.com/jobs/results/126122217814532806-software-engineer-cloud-iot/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Software Engineer, Embedded Systems and Firmware (Chrome OS)","Sydney NSW, Australia","BA/BS degree in Computer Science, Computer Engineering, Electrical Engineering, Industrial Engineering, or equivalent work experience.
2 years of relevant work experience, including programming experience in C, C++, Java and/or Python.
2 years of embedded development experience.
Experience in lower-level computer systems, computer architecture, embedded systems and kernel development.","Knowledge of Unix/Linux environments and embedded Linux
Knowledge of ARM or x86 assembly.
Excellent written and verbal communication skills.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/116591948250129094-software-engineer-embedded-systems-and-firmware-chrome-os/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Software Engineer, Engineering Productivity","Stockholm, Sweden","Bachelor's in Computer Science or related technical field or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience in one or more of the following: test automation, refactoring code, test-driven development, build infrastructure, optimizing software, debugging, building tools and testing frameworks.","Master's or PhD degree in Computer Science or related technical field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective-C, Python, JavaScript, or Go.
Scripting skills in Python, Perl, Shell or another common language.","Lead/contribute to engineering efforts from design to implementation, solving complex technical challenges around developer and engineering productivity and velocity.
Design and build advanced automated build, test, and release infrastructure.
Drive adoption of best practices in code health, testing, and maintainability.
Analyze and decompose complex software systems and collaborate with cross-functional teams to influence design for testability.",https://careers.google.com/jobs/results/72534929642005190-software-engineer-engineering-productivity/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
Staff Software Engineer,"Sydney NSW, Australia","Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.
8 years of relevant work experience in software development.
Experience in software development using a general purpose programming language (e.g., C/C++, Java, Python, JavaScript, C#, Go, Objective-C, and/or Swift).
Experience architecting and developing distributed systems design.","Master’s degree or PhD in Engineering, Computer Science, or a related technical field.
Hands on technical leadership experience leading project teams and setting technical direction.
Experience architecting and developing solutions to ambiguous problems with significant impact.
Demonstrated expertise working with one or more of the following: Infrastructure, Machine Learning, Mobile Application Development, Embedded Systems, Front End Development, Security and Privacy.
Interest and ability to learn other coding languages.","Help build a team and cultivate innovation by driving cross-collaboration and execution of projects across multiple teams.
Lead designs of major software components, systems, and features.
Design, develop, test, deploy, maintain and improve the software.
Manage individual projects priorities, deadlines and deliverables with your technical expertise.
Mentor and train other team members on design techniques, and coding standards.",https://careers.google.com/jobs/results/116291094380978886-staff-software-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Software Developer, PhD University Graduate","Waterloo, ON, Canada","PhD degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field.
Examples of coding in one of the following programming languages including but not limited to: C, C++, Java, JavaScript, or Python.","Research experience in Algorithms, Architecture, Artificial Intelligence, Compilers, Database, Data Mining, Distributed Systems, Machine Learning, Networking, or Systems.
Experience in Object Oriented programming.
A background in computer science, with competencies in data structures, algorithms, and software design.
Coding skills in AJAX, database design and SQL, and/or knowledge of TCP/IP and network programming.
Ability to start in 2020.","Specific responsibilities vary by project area. General responsibilities include:
Write server-side code for web-based applications. Develop prototypes quickly and create robust high-volume production applications.
Develop for specialist domains: client application development for Windows/Mac (Chrome, Toolbar, etc.), embedded systems and mobile apps (Android), developer tools (IDEs, large-scale build systems, compilers), infrastructure, internationalization, networking, and more.",https://careers.google.com/jobs/results/115481853822935750-software-developer-phd-university-graduate/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
Software Engineer,"Waterloo, ON, Canada","Bachelor's degree or equivalent practical experience.
Software development experience in a general purpose programming language.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.","Master’s, PhD degree, further education or experience in engineering, computer science or other technical related field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Interest and ability to learn other coding languages as needed.
Working proficiency and communication skills in verbal and written English.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/126162509775151814-software-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Software Engineer, Audio and Signal Processing","Mountain View, CA, USA","Bachelor's degree in Computer Science, related technical field, or equivalent practical experience.
Development experience within embedded systems/firmware design and in lower-level computer systems/architecture, embedded systems, and kernel development.
Experience coding in C/C++.
Experience with Audio and Video Signal Processing and Algorithms (e.g., AV synchronization, codecs, AV/Media).","MS degree in Computer Science, Electrical Engineering, Computer Engineering or PhD in Computer Science or related technical field.
Experience with one or more of the following audio technologies: equalization, dynamic range compression, automatic gain control, noise suppression, acoustic echo cancellation, microphone array processing and voice activity detection.
Experience in developing and optimization algorithms running on DSP and ARM processors.","Develop, tune, optimize and productize DSP algorithms and features for audio and more.
Optimize embedded software for size and speed.
Manage individual project priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/91720995229835974-software-engineer-audio-and-signal-processing/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
Front End Software Engineer,"Cambridge, MA, USA","Bachelor's degree in Computer Science or a similar technical field, or equivalent practical experience.
1 year of work experience.
Experience in JavaScript, and one or more programming languages including but not limited to: Java, C/C++, Python or Go.
Experience in working with front end technologies and/or front end frameworks.","3 years of relevant work experience, including web application experience or skills using AJAX, HTML, CSS or JavaScript.
Knowledge of user interface design.
Experience working with two or more from the following: web application development, mobile application development, user interface design, developing large software systems, and/or security software development.","Build next-generation web applications with a focus on the client side.
Redesign UI's, Implement new UI's, and pick up Java as necessary.
Engage with back-end systems.",https://careers.google.com/jobs/results/88809900756345542-front-end-software-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
"Hardware System Validation Hardware/Software Engineer, Consumer Hardware","Mountain View, CA, USA","Bachelor's degree in Electrical Engineering or equivalent practical experience.
Experience with consumer product development processes for product design, validation and manufacturing.
Experience with Software development in test framework and/or in Embedded Software.
Experience using modern programming/scripting languages.","Experience designing test infrastructure and creating S/W test framework for SoC test, Coex, or power management.
Experience with factory bring-up, triage, deriving DOEs, and statistical analysis for categorizing and capturing improvement/regression.
Experience collaborating with SOC and subsystem teams on feature definition, bring-up, characterization, stress test, and system/silicon regression rack.
Understanding of consumer electronic analog digital circuits spanning SOC, PMU, Sensors, Display/Touch, Audio, Camera, RF subsystems, and electrical signal characterization/lab equipment.
Ability to partner with cross-functional teams to deliver quality consumer products with the best user experience.","Develop validation strategies and plans, and execute electrical/system-level validation to catch and fix design issues at early design stage to improve the overall product quality and meet schedule.
Develop the integrated solutions to resolve the system-level issues, such as, Coexistence, Peak Power Management, and SoC/HW stability issues in a dense form factor and low power device.
Establish lab and factory test capabilities which include test plan, automation, test fixture/station, failure analysis, yield tracking, test cycle optimization, etc.
Drive the innovative validation/test solutions for adopting new technologies into Google product and improving test coverage/efficiency.",https://careers.google.com/jobs/results/104724232056775366-hardware-system-validation-hardwaresoftware-engineer-consumer-hardware/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=1&q=software&sort_by=relevance
