,title,location,minimum_qual,preferred_qual,responsibilities,min_degree_req,pref_degree_req,min_work_exp_req,pref_work_exp_req,min_langs_req,pref_langs_req
0,Robotics Software Engineer,"Menlo Park, CA","BS degree in Computer Science or equivalent degree or experience
3+ years coding experience using Python, PHP, or C++
Experience in developing software applications or algorithms independently
Experience communicating technical concepts to non-technical audiences
Experience logically analyzing problems, as well as identifying constraints and boundaries to develop solution options
Experience defining use cases, articulating requirements, and challenging design and quality during feature development","MS or above degrees in Computer Science or related technical field
Experience working full-stack (Back-end development, Software development, ROS development, etc.)
Experience with robotic platforms such as ROS or ROS2
Knowledge and experience in any of the following areas: Robot control systems (position, velocity, force control), Computer vision and imaging (or SLAM), Robot arms, Facebook back-end SW systems, (Thrift, Tupperware, fbcode, Scuba, etc.), or Linux and networking
Familiar with data analysis tools and/or experience working with data analysts
Experience scaling solutions, demonstrating a mindset of ""scalability""
Knowledge of industrial software release, robotic manufacturing practice, and quality assurance system","Work in the software engineering team to develop robotic industrial solutions
Take on challenging problems like robot software application development, manipulation, data communication and processing, hardware sensing enablement, robot localization, navigation, and obstacle avoidance
Solidify and stabilize core robot functionality, including sensing, controls, uptime, and network communications
Accountable for defining, scoping and prototyping through requirements, feature design, and code development
Actively manage issues, risk and schedule throughout the project and participation in usability test activities
Actively collaborate with hardware engineers to optimize the design, ensure functionality, support product field deployment training and documentations",BS,None,3,0,"C++,Python,PHP",None
1,Lead Software Engineer,"Sausalito, CA","BS or advanced degree in Computer Science, Computer Engineering, Computer Vision or related field.
10+ years experience in software development, including modern C++ features, low-level system development, operating systems, and development on various platforms.
Minimum 3 years experience building and managing teams.
Experience designing real-time systems in C++ (C++ 17/14/11).
Knowledge of the fundamentals of computer architecture, including CPU data caching, SIMD instruction sets, and compiler code generation.
Communication experience and demonstrated experience to cross multi-disciplinary boundaries to drive optimal system solutions.","Experience with:
Working with a cross-disciplinary team of researchers, mechanical engineers, electrical engineers, and software engineers.
Machine learning technologies, such as Torch or TensorFlow.
Motion and performance capture systems.
3D graphics.
Computer vision.
Tracking devices, such as Kinect, OptiTrack sensors, IMUs and depth sensors.","Manage a small team of system software engineers working on advanced AR/VR research.
Provide team guidance, regular feedback, education, coaching and mentoring.
Create career development plans, manage performance, performance reviews.
Work side by side with researchers, and research software engineers to understand workflows, prioritize solutions, create and improve systems the team relies on, to enable research scientists to be more effective and efficient.
Drive the software technology team's roadmap and extend systems as needed.
Analyze and own trade-offs within systems software, collaborating with counterparts in other domains and teams to drive decisions on the intersection of hardware and software, including performance, schedule, and cost.
Provide technical leadership to drive all phases of software systems development, from an initial “what it needs to do” early definition phase, and on through specification, architecture and production.
Hands-on execution including the development, debugging, and optimization of systems ranging from one-off prototypes to large, complex systems.
Coordinate with a large set of internal infrastructure and tool teams across the lab and across Facebook to evaluate and integrate with existing systems.
Participate in design reviews and code reviews for the software team.",BS,None,10,0,C++,None
2,FRL Tracking Software Engineer,"Redmond, WA","BS degree in Computer Science, Computer Vision, Image Processing, Control & Estimation or related field
5+ years C/C++ experience, including knowledge with C++11 (and up) features and principles
5+ years experience creating software for games, autonomous vehicles, robotics
3+ years experience with sensor input, Bayesian estimation, computer vision, and machine learning
Experience shipping one or more products using standard software development toolsets such as source control and continuous integration systems","Experience with sensor fusion
Experience with 3D math and linear algebra
Experience with 3D graphics
Experience with Game engines such as Unreal and Unity
Experience with MATLAB
Experience with Robotics
Experience with Advanced mathematics
Experience with Software optimization, including the use of SIMD instruction sets to improve performance","Analyze, evaluate, design, develop, integrate, debug and test real-time AR/VR tracking systems for advanced prototypes and user experiences
Create and implement novel real-time tracking algorithms for new sensors, integrate with existing tracking systems, implement real-time and offline telemetry, implement capture/playback systems, and implement synthetic data generation systems
Collaborate in a team environment across multiple scientific and engineering disciplines, making the architectural trade-offs required to rapidly deliver software solutions
Develop software for a variety of consumer devices, including novel sensing systems, tracking systems, mapping systems, imaging systems and haptic devices
Write clean code, debug complex problems that span systems, prioritize ruthlessly and get things done with a high level of efficiency
Learn constantly, educate others, dive into new areas with unfamiliar technologies, and embrace the ambiguity of AR/VR problem solving",BS,None,5,0,C++,None
3,"Software Engineer, Facebook Connectivity","Menlo Park, CA","Knowledge of C, C++, and Nix systems.
B.S. or M.S. in Computer Science, Electrical Engineering or a related discipline.
Experience with software design, implementation, and deployment of embedded systems.
Knowledge of real-time operating systems (RTOS), interfaces for data acquisition and control, and device drivers.
Experience with hardware-in-the-loop testing and validation including the use of network test equipment and lab test equipment such as spectrum analyzers, oscilloscopes, and frequency synthesizers.
Knowledge or experience in the following: ARM architecture, small to medium scale software development, test suite development, distributed code repositories, and embedded Linux.","Bachelors or Masters Degree in CS or EE plus at least 5 years of communication software/systems experience.
5+ years experience in embedded C and build systems.
2+ years experience in Python and C++.
Working knowledge of 802.11 standard, communication theory and digital signal processing.
Experience with debugging of integrated HW & SW in lab and field.
Experience with high volume production of communication products.","Drafting software that runs on embedded boards used for communications. This could span from bootloader, firmware running on specialized cores, Linux kernel development and user space applications.
Develop firmware for networking protocols including provisioning and controlling wireless (PHY) hardware.
Development, debugging, and maintenance of the firmware, in conjunction with the low level hardware.
Architecture and design of firmware and platform software, including work with partner teams to ensure consistent design across components.
Developing unit and system level tests, instrumenting test automation for collecting data and characterizing the performance.
Utilize Facebook tools and software development processes to guide the development lifecycle.",None,Master,0,5,C++,"C++,Python"
4,Optical Scientist - Optical Software Developer,"Redmond, WA","2+ years experience in applied research or development of optical analysis software
Experience with electromagnetic modeling and analysis of nanoscale structures, anisotropic materials, films, or holographic elements
Experience in C++ and object-oriented software design
Experience working, communicating, and collaborating in a cross-functional team environment
PhD degree in the field of optical sciences, physics, electrical engineering, or related field, or equivalent experience","Experience with electromagnetic simulation software such as Lumerical FDTD or similar software
Experience in Python and MATLAB
Experience with optical design using standard design software such as VirtualLab, FRED, LightTools, Zemax, or CODE V
Experience with product launches, grants, fellowships, patents, or first-authored publications at leading workshops or conferences such as Applied Optics, Optics Letters, Optics Express, SIGGRAPH, SID, OSA, or SPIE","Development of ray tracing software to model and design advanced optical systems with components such as nanoscale structures, anisotropic materials, or holographic elements
Validation of analysis software results with experimental data
Close collaboration with users to plan upgrades and new feature implementation",PhD,None,2,0,C++,Python
5,System Software Engineer - Concept Engineering,"Menlo Park, CA","BS in Electrical Engineering or Computer Science
5+ years experience with system software design and development
Experience with protocol design, specification, and implementation
Experience debugging and problem-solving in unfamiliar code bases and environments
Experience with low-level (kernel/drivers/HAL), as well as user-space system software
Experience with software framework design for rapid prototyping
Experience with multimedia (video/audio) use cases","Experience with Embedded Linux/Android system software
Experience with ARM based processors and micro-controllers and various communications protocols such as I2C, UART, SPI, USB, MIPI, I2S, etc.","Ownership of system software design for hardware prototype projects and development platforms
Collaborate in a team environment across engineering disciplines
Experimenting with and implementing interfaces to various sensors and software components
Developing framework-centric software to enhance algorithm development and integration
Devising and implementing low-latency network interface protocols
Work closely with various core tech teams and other organizations to define prototyping scope and applications towards various technology roadmaps and products",BS,None,5,0,None,None
6,User Interaction Platform Software Engineer,"Redmond, WA","BS degree in Computer Science, Math, Physics or related field
5+ years C/C++ experience, including knowledge with C++11 (and up) features and principles
5+ years experience creating software for system services, games, or other environments
2+ years experience designing and delivering software APIs and frameworks
2+ years of experience with Linear algebra and 3D geometry skillset
Knowledge of the fundamentals of computer architecture, including aspects such as CPU data caching, SIMD instruction sets, and compiler code generation
Experience shipping one or more products using software development toolsets such as source control and continuous integration systems
Knowledge with mathematical optimization theory or software solvers such as Ceres","Probability mathematics and software modeling of uncertainty experience
Experience working across disciplines to drive optimal solutions
Experience with Machine learning
Experience with Natural language processing
Experience with constraint programming and constraint solving algorithms
Experience with UI application and UI development frameworks
Experience with Input device frameworks
Experience with 3D graphics engines and graphics frameworks such as Unreal Engine
Experience with Digital signal processing
Experience with audio engines such as WWise or FMOD","Help design and build a next generation user interaction software platform for AR/VR
Work closely with researchers to help define productive research areas and integrate research results to improve overall user experience
Collaborate in a team environment across multiple scientific and engineering disciplines, making the architectural tradeoffs required to rapidly deliver software solutions
Develop software for a variety of experimental and consumer devices
Write clean readable code, debug complex problems that span systems, prioritize ruthlessly and get things done with a high level of efficiency
Learn constantly, educate others, dive into new areas with unfamiliar technologies, and embrace the ambiguity of AR/VR problem solving",BS,None,5,0,C++,None
7,"Software Engineer, University Grad",Singapore,"1 or more years of experience with perl, java, php, python, or c++
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment","Demonstrated software engineering experience from previous internship, work experience, coding competitions, or publications
Currently has, or is in the process of obtaining, a Bachelors or Masters degree in Computer Science or a related field","Code high-volume software using primarily C++ and Java
Create web applications using primarily PHP
Implement web interfaces using XHTML, CSS, and JavaScript
Build report interfaces and data feeds",None,Master,0,0,None,None
8,"Software Engineer, University Grad","Menlo Park, CA","1 or more years of experience with perl, java, php, python, or c++
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment","Demonstrated software engineering experience from previous internship, work experience, coding competitions, or publications
Currently has, or is in the process of obtaining, a Bachelors or Masters degree in Computer Science or a related field","Code high-volume software using primarily C++ and Java
Create web applications using primarily PHP
Implement web interfaces using XHTML, CSS, and JavaScript
Build report interfaces and data feeds",None,Master,0,0,None,None
9,Software Engineering Manager,"Redmond, WA","BS degree in Computer Science or related field
5+ years of experience managing software engineers
5+ years of C++ experience
5+ years of experience creating software for real-time environments such as games or robotics
Experience designing software systems and services
Proven track record of software development, including shipping one or more products on large code bases that span a range of platforms and tools
Communication experience and experience working across disciplines to drive solution","Experience in input devices such as keyboards, mice, and game controllers
Experience with tracking devices, such as Kinect, OptiTrack sensors, IMUs, and depth sensors
Experience in 3D graphics, including technologies such as DirectX, Vulkan, or OpenGL
Experience in game engines such as Unreal and Unity
Experience in high performance libraries such as Eigen and Boost
Knowledge in Physics
Knowledge in Sensor fusion
Knowledge in Computer vision
Experience in machine learning frameworks such as PyTorch, Caffe2 or TensorFlow
Knowledge in MATLAB
Knowledge in Digital signal processing
Knowledge in Robotics
Knowledge in Advanced mathematics","Manage a team of system software engineers working on advanced AR/VR research
Analyze, design, develop, and debug real-time VR and AR software for advanced interaction prototypes
Provide technical leadership for innovative, reliable, scalable, and maintainable software solutions
Provide team guidance, regular feedback, education, coaching, and mentoring
Perform architectural, design, and code reviews that improve software engineering quality
Create career development plans, manage performance, and conduct performance reviews
Identify, recruit, interview, and hire new software engineers, while helping the team scale effectively
Collaborate in a team environment across multiple scientific and engineering disciplines, making the architectural tradeoffs required to rapidly deliver software solutions",BS,None,5,0,C++,None
